"","Provincias","Year","Mes","dia","fecha","Población","Unidades","Euros","precio","UdesxCapita"
"210","Cuenca","2005","5","15",2005-05-15,178173,1544547.5,3459299.6,2.23968482678584,8.66880784406167
"211","Girona","2005","5","15",2005-05-15,553514,19630983.2,43173660.45,2.19926123975288,35.466100586435
"212","Granada","2005","5","15",2005-05-15,701531,7266870.6,16495193.58,2.26991706443761,10.3585880025259
"213","Guadalajara","2005","5","15",2005-05-15,174516,1702425.2,3897248.95,2.28923358864754,9.75512388548901
"214","Guipúzcoa","2005","5","15",2005-05-15,593167,11360261.3,24309962.1,2.13991223071603,19.1518767901788
"215","Huelva","2005","5","15",2005-05-15,395486,4962940.5,10815232,2.1791984006256,12.5489663350915
"216","Huesca","2005","5","15",2005-05-15,189622,2163850.5,4774453.2,2.20646167561021,11.4113895012182
"217","Jaén","2005","5","15",2005-05-15,528685,4943788,10875612.1,2.199854059276,9.35110320890511
"218","León","2005","5","15",2005-05-15,436606,3283630.4,7504257.05,2.28535375053173,7.52080915058428
"219","Lleida","2005","5","15",2005-05-15,341375,5697855.5,12017632.15,2.10915003899274,16.6908985719517
"220","Lugo","2005","5","15",2005-05-15,323550,1899312.5,4259125.35,2.24245633617427,5.87022871271828
"221","Madrid","2005","5","15",2005-05-15,4965769,44634168,101841962.09,2.28170405439169,8.98836977716845
"222","Málaga","2005","5","15",2005-05-15,1172755,17056062.35,39843268.75,2.33601800535163,14.543585275697
"223","Murcia","2005","5","15",2005-05-15,1074547,11926215.55,27926308.45,2.34159011573458,11.0988309957591
"224","Navarra","2005","5","15",2005-05-15,499843,7493257.5,15965518.9,2.13065130886,14.9912222437845
"225","Ourense","2005","5","15",2005-05-15,307170,1877639.5,4219412.05,2.24718964955733,6.11270469121333
"226","Palencia","2005","5","15",2005-05-15,152674,1166474.5,2669899.95,2.28886267980997,7.64029566265376
"227","Pontevedra","2005","5","15",2005-05-15,795556,5567072.55,12352858.35,2.21891456219661,6.99771298312124
"228","Rioja (La)","2005","5","15",2005-05-15,258307,1879380.65,4307629.1,2.29204716990142,7.27576352944365
"229","Salamanca","2005","5","15",2005-05-15,306380,2184563.8,4906417.8,2.24594850468547,7.13024283569424
"230","Segovia","2005","5","15",2005-05-15,134694,1008223.5,2333316.25,2.31428472952674,7.48528887701011
"231","Sevilla","2005","5","15",2005-05-15,1451836,14300890,31953141.05,2.23434632739641,9.85021035433754
"232","Soria","2005","5","15",2005-05-15,82633,522635.5,1212733.2,2.32041872394814,6.32477944646812
"233","Tarragona","2005","5","15",2005-05-15,592612,7122832.9,16728930.15,2.34863436849684,12.0193868838296
"234","Teruel","2005","5","15",2005-05-15,123472,882115.5,2004825.3,2.27274693620053,7.14425537773746
"235","Toledo","2005","5","15",2005-05-15,496489,4929636,11064479.5,2.24448204695032,9.92899339159579
"236","Valencia/València","2005","5","15",2005-05-15,2014397,20427464.8,45171424.5,2.21130839985586,10.1407343239689
"237","Valladolid","2005","5","15",2005-05-15,445030,3345599.25,7577309.95,2.26485881415713,7.51769375098308
"238","Vizcaya","2005","5","15",2005-05-15,993769,7306072.55,16826305.55,2.30305755039347,7.35188212753668
"239","Zamora","2005","5","15",2005-05-15,177904,1191039,2712346.35,2.27729432033712,6.69484103786312
"240","Zaragoza","2005","5","15",2005-05-15,784426,7195420.7,16193368.5,2.25051031415022,9.17284829926596
"241","Álava","2005","6","15",2005-06-15,260982,2509108.55,5736809.4,2.28639346830969,9.61410576208321
